Unnamed: 0,country,designation,points,price,title,variety,winery
9416,US,Brunette,83,20.0,Back Seat 2010 Brunette Red (California),Bordeaux-style Red Blend,Back Seat
9417,US,,83,30.0,Brander 2010 Cabernet Franc (Santa Ynez Valley),Cabernet Franc,Brander
9418,France,,83,13.0,Château Nozières 2011 Malbec (Cahors),Malbec,Château Nozières
9419,Argentina,Brut Methode Traditionnelle,83,20.0,Domaine Jean Bousquet NV Brut Methode Traditionnelle  (Tupungato),Champagne Blend,Domaine Jean Bousquet
9420,Argentina,Reserva,83,13.0,Tamarí 2011 Reserva Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Tamarí
9421,Spain,Finca del Castillo Joven,83,9.0,Vinícola de Castilla 2011 Finca del Castillo Joven Tempranillo (La Mancha),Tempranillo,Vinícola de Castilla
9422,US,Diavolo,83,36.0,Vivác Winery 2008 Diavolo Red (New Mexico),Red Blend,Vivác Winery
9423,US,,82,12.0,Mirassou 2012 Sauvignon Blanc (California),Sauvignon Blanc,Mirassou
9424,US,,82,10.0,Castle Rock 2012 Chardonnay (Central Coast),Chardonnay,Castle Rock
9425,US,Dry,82,12.0,Mount Pleasant Winery NV Dry Norton (Missouri),Norton,Mount Pleasant Winery
9426,US,,82,15.0,Damas 2010 Zinfandel (Fiddletown),Zinfandel,Damas
9427,US,,82,24.0,Doukénie 2011 Pinot Grigio (Virginia),Pinot Grigio,Doukénie
9428,Argentina,,82,8.0,Casa de Campo 2011 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Casa de Campo
9429,US,La Vista Vineyard,82,30.0,Ranchero Cellars 2012 La Vista Vineyard Viognier (Paso Robles),Viognier,Ranchero Cellars
9430,US,Cask 520,82,30.0,San Antonio 2009 Cask 520 Red (Paso Robles),Bordeaux-style Red Blend,San Antonio
9431,US,Sleepy Hollow Vineyard,82,42.0,Talbott 2011 Sleepy Hollow Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Talbott
9432,Spain,Crianza,82,22.0,Urbina 2007 Crianza  (Rioja),Red Blend,Urbina
9433,US,,82,11.0,Castle Rock 2011 Merlot (Central Coast),Merlot,Castle Rock
9434,France,,82,11.0,Cave de Cleebourg 2011 Pinot Auxerrois (Alsace),Pinot Auxerrois,Cave de Cleebourg
9435,Spain,Ecològic,92,45.0,Genium Celler 2010 Ecològic Red (Priorat),Red Blend,Genium Celler
9436,Austria,Rosensteig,92,20.0,Geyerhof 2015 Rosensteig Grüner Veltliner (Kremstal),Grüner Veltliner,Geyerhof
9437,Austria,Sprinzenberg,92,30.0,Geyerhof 2015 Sprinzenberg Riesling (Kremstal),Riesling,Geyerhof
9438,France,Le Petit Haut Lafitte,92,,Château Smith Haut Lafitte 2011 Le Petit Haut Lafitte  (Pessac-Léognan),Bordeaux-style Red Blend,Château Smith Haut Lafitte
9439,France,Les Tétuères,92,45.0,Domaine du Petit Métris 2014 Les Tétuères Chenin Blanc (Coteaux du Layon Chaume),Chenin Blanc,Domaine du Petit Métris
9440,US,Ten Oaks Single Vineyard,92,72.0,Donum 2013 Ten Oaks Single Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Donum
9441,US,Eleni Red Willow Vineyard,92,54.0,Efeste 2013 Eleni Red Willow Vineyard Syrah (Yakima Valley),Syrah,Efeste
9442,US,L'Ingenue,92,32.0,Elyse 2013 L'Ingenue White (Sierra Foothills),White Blend,Elyse
9443,Italy,Brunate,92,60.0,Francesco Rinaldi 2012 Brunate  (Barolo),Nebbiolo,Francesco Rinaldi
9444,US,,92,25.0,Baer 2013 Malbec (Columbia Valley (WA)),Malbec,Baer
9445,US,Regan Vineyards Reserve,92,30.0,Bargetto 2014 Regan Vineyards Reserve Chardonnay (Santa Cruz Mountains),Chardonnay,Bargetto
9446,Austria,Gebling,92,15.0,Buchegger 2015 Gebling Grüner Veltliner (Kremstal),Grüner Veltliner,Buchegger
9447,France,,92,40.0,Château de Ferrand 2012  Saint-Émilion,Bordeaux-style Red Blend,Château de Ferrand
9448,US,,92,,Hensteeth 2012 Pinot Noir (Santa Barbara County),Pinot Noir,Hensteeth
9449,Austria,Spiegel,92,,Hiedler 2015 Spiegel Grüner Veltliner (Kamptal),Grüner Veltliner,Hiedler
9450,Spain,Reserva,92,36.0,Lecco 2011 Reserva  (Ribera del Duero),Tempranillo,Lecco
9451,US,Stormin',92,66.0,Maggy Hawk 2013 Stormin' Pinot Noir (Anderson Valley),Pinot Noir,Maggy Hawk
9452,US,Riverbed,92,28.0,Mercy 2014 Riverbed Chardonnay (Arroyo Seco),Chardonnay,Mercy
9453,US,The Stones Speak,92,55.0,Saviah 2012 The Stones Speak Syrah (Walla Walla Valley (WA)),Syrah,Saviah
9454,Italy,Pernanno Riserva,92,87.0,Sobrero 2010 Pernanno Riserva  (Barolo),Nebbiolo,Sobrero
9455,US,Diamond T Vineyard Estate Grown,92,52.0,Talbott 2013 Diamond T Vineyard Estate Grown Pinot Noir (Monterey),Pinot Noir,Talbott
9456,Italy,Calderara Sottana,92,40.0,Tenuta delle Terre Nere 2014 Calderara Sottana  (Etna),Red Blend,Tenuta delle Terre Nere
9457,US,,92,32.0,The Tribe 2015 Chardonnay (Lodi),Chardonnay,The Tribe
9458,Austria,Kremser Weinberge,92,14.0,Türk 2015 Kremser Weinberge Grüner Veltliner (Kremstal),Grüner Veltliner,Türk
9459,US,,91,18.0,Dry Creek Vineyard 2015 Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,Dry Creek Vineyard
9460,US,Ceidleigh,91,39.0,Efeste 2013 Ceidleigh Syrah (Red Mountain),Syrah,Efeste
9461,US,Emmy Stone Tree Vineyard,91,49.0,Efeste 2013 Emmy Stone Tree Vineyard Mourvèdre (Wahluke Slope),Mourvèdre,Efeste
9462,Austria,Estoras,91,19.0,Esterházy 2015 Estoras Grüner Veltliner (Burgenland),Grüner Veltliner,Esterházy
9463,US,Optu,91,50.0,Fidelitas 2013 Optu Red (Red Mountain),Bordeaux-style Red Blend,Fidelitas
9464,US,Brosseau Vineyard,91,38.0,Flywheel 2013 Brosseau Vineyard Chardonnay (Chalone),Chardonnay,Flywheel
9465,Austria,Trie Weiss,87,15.0,Gunter Triebaumer 2008 Trie Weiss White (Burgenland),White Blend,Gunter Triebaumer
9466,France,Benjamin,87,,Vieux Château Gaubert 2008 Benjamin  (Graves),Bordeaux-style White Blend,Vieux Château Gaubert
9467,Chile,Nimbus Estate Single Vineyard,87,12.0,Viña Casablanca 2007 Nimbus Estate Single Vineyard Syrah (Casablanca Valley),Syrah,Viña Casablanca
9468,New Zealand,,87,11.0,Zeal 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Zeal
9469,Italy,Vigneto Dirupo Extra Dry,87,23.0,Andreola Orsola NV Vigneto Dirupo Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Andreola Orsola
9470,Italy,Extra Dry,87,,Antonini Ceresa NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Antonini Ceresa
9471,Italy,Dry,87,15.0,Bellussi NV Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi
9472,France,Les Clans,87,80.0,Château d'Esclans 2007 Les Clans Rosé (Côtes de Provence),Rosé,Château d'Esclans
9473,US,,87,15.0,Christine Andrew 2007 Cabernet Sauvignon (Lodi),Cabernet Sauvignon,Christine Andrew
9474,Italy,Extra Dry,87,,Colesel NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Colesel
9475,Italy,Brut,87,18.0,Colutta NV Brut Ribolla Gialla (Friuli),Ribolla Gialla,Colutta
9476,Italy,Brut,87,20.0,Costaripa NV Brut  (Lugana),Chardonnay,Costaripa
9477,US,Brut Cuvée,87,26.0,Domaine Carneros 2005 Brut Cuvée Sparkling (Carneros),Sparkling Blend,Domaine Carneros
9478,US,,87,20.0,Dr. Konstantin Frank 2007 Cabernet Franc (Finger Lakes),Cabernet Franc,Dr. Konstantin Frank
9479,US,Vintner's Reserve,87,19.0,Kendall-Jackson 2006 Vintner's Reserve Merlot (Sonoma-Napa-Mendocino),Merlot,Kendall-Jackson
9480,US,Estate Bottled,87,15.0,Lamoreaux Landing 2007 Estate Bottled Gewürztraminer (Finger Lakes),Gewürztraminer,Lamoreaux Landing
9481,US,,87,23.0,MacRostie 2007 Chardonnay (Carneros),Chardonnay,MacRostie
9482,Italy,Ruio Brut,87,20.0,Malibràn NV Ruio Brut  (Prosecco di Valdobbiadene),Prosecco,Malibràn
9483,Australia,,87,20.0,Strait Jacket 2007 Sauvignon Blanc-Semillon (Western Australia),Sauvignon Blanc-Semillon,Strait Jacket
9484,Italy,Uvaggio Storico Dry,87,24.0,Val d'Oca 2007 Uvaggio Storico Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca
9485,Chile,Chamán Gran Reserva,87,20.0,Viña Santa Cruz 2006 Chamán Gran Reserva Malbec (Colchagua Valley),Malbec,Viña Santa Cruz
9486,Austria,Loibner Federspiel,87,,Emmerich Knoll 2008 Loibner Federspiel Riesling (Wachau),Riesling,Emmerich Knoll
9487,US,,87,14.0,Fox Run 2007 Riesling (Finger Lakes),Riesling,Fox Run
9488,Chile,Red Wine,88,12.0,Calcu 2008 Red Wine Red (Colchagua Valley),Red Blend,Calcu
9489,US,Unoaked,88,19.0,Cave B 2009 Unoaked Chardonnay (Columbia Valley (WA)),Chardonnay,Cave B
9490,Greece,Estate Hatzimichalis,88,20.0,Hatzimichalis 2007 Estate Hatzimichalis Cabernet Sauvignon (Atalanti Valley),Cabernet Sauvignon,Hatzimichalis
9491,New Zealand,,87,18.0,Goldwater 2010 Sauvignon Blanc (Wairau Valley),Sauvignon Blanc,Goldwater
9492,New Zealand,Silistria,87,30.0,Gunn Estate 2007 Silistria Syrah (Hawke's Bay),Syrah,Gunn Estate
9493,US,Tempestuous,87,35.0,Bella Luna 2008 Tempestuous Tempranillo (San Benito County),Tempranillo,Bella Luna
9494,US,,87,22.0,Benessere 2009 Pinot Grigio (Carneros),Pinot Grigio,Benessere
9495,Italy,L'Ardì,87,12.0,Vigne Regali 2009 L'Ardì  (Dolcetto d'Acqui),Dolcetto,Vigne Regali
9496,Bulgaria,Veni Vidi Vici,87,8.0,Vini 2009 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
9497,Italy,,87,18.0,Virna Borgogno 2008 Red (Langhe),Red Blend,Virna Borgogno
9498,US,,87,50.0,Hestan 2008 Chardonnay (San Francisco Bay),Chardonnay,Hestan
9499,Italy,Usignolo,87,27.0,Cascina Bruciata 2008 Usignolo Nebbiolo (Langhe),Nebbiolo,Cascina Bruciata
9500,Italy,Vigneti in Rio Sordo,87,23.0,Cascina Bruciata 2009 Vigneti in Rio Sordo  (Dolcetto d'Alba),Dolcetto,Cascina Bruciata
9501,France,,87,60.0,Chanson Père et Fils 2008  Nuits-St.-Georges,Pinot Noir,Chanson Père et Fils
9502,US,Black Nova III,87,78.0,Château Julien 2007 Black Nova III Malbec-Syrah (Monterey County),Malbec-Syrah,Château Julien
9503,Romania,Single Vineyard Selection Sebes Alba Transylvania,87,9.0,Cramele Halewood 2010 Single Vineyard Selection Sebes Alba Transylvania Sauvignon Blanc (Sebes),Sauvignon Blanc,Cramele Halewood
9504,Romania,Alb Demisec,87,7.0,Cramele Recas 2010 Alb Demisec Feteascǎ Regalǎ (Recas),Feteascǎ Regalǎ,Cramele Recas
9505,Chile,Legado Reserva,87,16.0,De Martino 2008 Legado Reserva Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,De Martino
9506,France,Champs Pimont Premier Cru,87,79.0,Domaine Jacques Prieur 2009 Champs Pimont Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur
9507,US,,87,36.0,Fontanella 2009 Zinfandel (Napa Valley),Zinfandel,Fontanella
9508,Chile,Hacienda Araucano Reserva,87,11.0,François Lurton 2009 Hacienda Araucano Reserva Carmenère (Colchagua Valley),Carmenère,François Lurton
9510,US,,92,39.0,Williams Selyem 2014 Pinot Noir (Central Coast),Pinot Noir,Williams Selyem
9511,US,Homage Collection,92,48.0,Zaca Mesa 2013 Homage Collection Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Zaca Mesa
9512,US,Pick and Shovel,92,30.0,Saracina 2013 Pick and Shovel Zinfandel (Mendocino County),Zinfandel,Saracina
9513,US,Eighteen Sixty-One,92,30.0,Skinner 2012 Eighteen Sixty-One Red (El Dorado),Rhône-style Red Blend,Skinner
9514,US,Mr. Burgess,92,36.0,The Withers Winery 2013 Mr. Burgess Red (El Dorado),Rhône-style Red Blend,The Withers Winery
9515,Spain,Viñas Viejas,92,45.0,Leda 2010 Viñas Viejas Tempranillo (Vino de la Tierra de Castilla y León),Tempranillo,Leda
9516,Spain,Reserva,92,25.0,Marqués de Cáceres 2010 Reserva  (Rioja),Tempranillo Blend,Marqués de Cáceres
9517,Spain,Textures'de Pedra Blanc de Negres,92,60.0,Raventós I Blanc 2011 Textures'de Pedra Blanc de Negres Sparkling (Spain),Sparkling Blend,Raventós I Blanc
9518,Germany,Wintricher Ohligsberger Grosse Lage Spätlese,92,,Reinhold Haart 2014 Wintricher Ohligsberger Grosse Lage Spätlese Riesling (Mosel),Riesling,Reinhold Haart
9519,US,Campbell Ranch Vineyard,92,54.0,Gros Ventre 2013 Campbell Ranch Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Gros Ventre
9520,US,,92,35.0,Havens 2014 Syrah (Napa Valley),Syrah,Havens
9521,US,V Block,92,60.0,Liparita 2013 V Block Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Liparita
9522,US,,92,21.0,Spangler 2015 Viognier (Southern Oregon),Viognier,Spangler
9523,Australia,Museum Release,92,23.0,Tahbilk 2009 Museum Release Marsanne (Nagambie Lakes),Marsanne,Tahbilk
9524,US,,92,30.0,Terre Rouge 2013 Mourvèdre (Sierra Foothills),Mourvèdre,Terre Rouge
9525,US,Outcrop Estate,92,50.0,The Eyrie Vineyards 2013 Outcrop Estate Pinot Noir (Dundee Hills),Pinot Noir,The Eyrie Vineyards
9526,US,Live Oak,92,34.0,Three 2013 Live Oak Zinfandel (Contra Costa County),Zinfandel,Three
9527,US,Old Vines,92,22.0,Three 2013 Old Vines Zinfandel (Contra Costa County),Zinfandel,Three
9528,US,,92,125.0,Wallis Family Estate 2013 Cabernet Franc (Diamond Mountain District),Cabernet Franc,Wallis Family Estate
9529,US,Beacon Hill Vineyard,92,45.0,WildAire 2014 Beacon Hill Vineyard Pinot Noir,Pinot Noir,WildAire
9530,France,Champ Gain Premier Cru,92,119.0,Domaine Faiveley 2014 Champ Gain Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Faiveley
9531,France,Burlenberg,92,33.0,Domaine Marcel Deiss 2009 Burlenberg Red (Alsace),Red Blend,Domaine Marcel Deiss
9532,US,Mount Richmond,92,60.0,Elk Cove 2014 Mount Richmond Pinot Noir,Pinot Noir,Elk Cove
9533,US,Kenefick Ranch,92,97.0,B Cellars 2013 Kenefick Ranch Cabernet Sauvignon (Calistoga),Cabernet Sauvignon,B Cellars
9534,US,Zayante Vineyard,92,35.0,Beauregard 2012 Zayante Vineyard Syrah (Santa Cruz Mountains),Syrah,Beauregard
9535,US,Flat Block,92,58.0,Bethel Heights 2014 Flat Block Pinot Noir (Eola-Amity Hills),Pinot Noir,Bethel Heights
9536,Greece,,92,21.0,Boutari 2015 Assyrtico (Santorini),Assyrtico,Boutari
9537,France,Fourchaumes Premier Cru,92,50.0,Chanson Père et Fils 2013 Fourchaumes Premier Cru  (Chablis),Chardonnay,Chanson Père et Fils
9538,France,Vers Châne,92,40.0,Château de Lavernette 2013 Vers Châne  (Pouilly-Fuissé),Chardonnay,Château de Lavernette
9539,US,Estate,94,32.0,Clos du Val 2015 Estate Chardonnay (Carneros),Chardonnay,Clos du Val
9540,US,,94,85.0,Hertelendy 2014 Chardonnay (Napa Valley),Chardonnay,Hertelendy
9541,US,Wedding Cuvée,94,44.0,Iron Horse 2013 Wedding Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse
9542,US,Estate Grown Cave Fermented,94,115.0,Jarvis 2013 Estate Grown Cave Fermented Cabernet Franc (Napa Valley),Cabernet Franc,Jarvis
9543,US,Old Vines,94,70.0,Lynmar 2015 Old Vines Chardonnay (Russian River Valley),Chardonnay,Lynmar
9544,US,Hudson Vineyard,94,60.0,Patz & Hall 2015 Hudson Vineyard Chardonnay (Carneros),Chardonnay,Patz & Hall
9545,US,,93,90.0,Addendum 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Addendum
9546,US,E2,93,48.0,Bodega de Edgar 2014 E2 Red (Ballard Canyon),Rhône-style Red Blend,Bodega de Edgar
9547,France,,93,26.0,Château du Cèdre 2014 Malbec (Cahors),Malbec,Château du Cèdre
9548,France,Cuvée Exceptionelle,93,80.0,Château Simon 2011 Cuvée Exceptionelle  (Sauternes),Bordeaux-style White Blend,Château Simon
9549,France,Les Anciens Francs Parcelle A252,93,50.0,Château Tour des Gendres 2015 Les Anciens Francs Parcelle A252 Cabernet Franc (Côtes de Bergerac),Cabernet Franc,Château Tour des Gendres
9550,Portugal,Conceito,93,45.0,Conceito Vinhos 2015 Conceito Red (Douro),Portuguese Red,Conceito Vinhos
9551,France,Renaissance,93,23.0,Domaine Rotier 2014 Renaissance Red (Gaillac),Red Blend,Domaine Rotier
9552,US,Clone 115,93,58.0,Fess Parker 2015 Clone 115 Pinot Noir (Sta. Rita Hills),Pinot Noir,Fess Parker
9553,US,La Cruz Vineyard,93,45.0,Keller 2014 La Cruz Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Keller
9554,US,,93,60.0,Kimsey 2014 White (Ballard Canyon),Rhône-style White Blend,Kimsey
9555,US,,93,40.0,Margerum 2015 Grenache (Santa Barbara County),Grenache,Margerum
9556,US,Watch Hill Vineyard,93,48.0,Montemar Wines 2013 Watch Hill Vineyard Grenache (Santa Barbara County),Grenache,Montemar Wines
9557,US,Brut Reserve Rosé,93,42.0,Mumm Napa NV Brut Reserve Rosé Sparkling (Napa County),Sparkling Blend,Mumm Napa
9558,Portugal,Vinha da Neta,93,26.0,Quinta do Sobral 2014 Vinha da Neta Red (Dão),Portuguese Red,Quinta do Sobral
9559,US,Black Chicken,93,48.0,Robert Biale 2015 Black Chicken Zinfandel (Napa Valley),Zinfandel,Robert Biale
9560,US,Para Maria de los Tecolotes,93,22.0,Stolpman 2016 Para Maria de los Tecolotes Red (Santa Barbara County),Red Blend,Stolpman
9561,US,Black Bear Block,93,68.0,Zaca Mesa 2014 Black Bear Block Syrah (Santa Ynez Valley),Syrah,Zaca Mesa
9562,Chile,Enclave,93,70.0,Ventisquero 2013 Enclave Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ventisquero
9563,US,Skellenger Lane,93,95.0,Addendum 2014 Skellenger Lane Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Addendum
9564,US,Blanc de Blancs,93,50.0,Benovia 2012 Blanc de Blancs Chardonnay (Russian River Valley),Chardonnay,Benovia
9565,US,Alta Mesa Vineyard,93,38.0,Bodega de Edgar 2014 Alta Mesa Vineyard Mourvèdre (Santa Barbara County),Mourvèdre,Bodega de Edgar
9566,US,Le Cigare Volant,93,45.0,Bonny Doon 2013 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon
9567,US,Le Cigare Blanc Reserve,93,48.0,Bonny Doon 2014 Le Cigare Blanc Reserve White (Central Coast),Rhône-style White Blend,Bonny Doon
9568,US,,93,58.0,Chateau Montelena 2014 Chardonnay (Napa Valley),Chardonnay,Chateau Montelena
9569,US,,86,20.0,Elizabeth Rose 2012 Pinot Noir (Yountville),Pinot Noir,Elizabeth Rose
9570,Italy,Principessa Brut,86,25.0,Luretta NV Principessa Brut Chardonnay (Vino Spumante),Chardonnay,Luretta
9571,France,Les Dames Huguettes,86,,Nuiton-Beaunoy 2012 Les Dames Huguettes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Nuiton-Beaunoy
9572,Spain,Castillo de Albai,86,10.0,Pagos del Rey 2012 Castillo de Albai  (Rioja),Tempranillo,Pagos del Rey
9573,Portugal,10-Year-Old Tawny,86,,Quinta da Romaneira NV 10-Year-Old Tawny  (Port),Port,Quinta da Romaneira
9574,US,,86,25.0,Ron Rubin 2012 Pinot Noir (Green Valley),Pinot Noir,Ron Rubin
9575,Portugal,Andreza Branco,86,18.0,Wines & Winemakers 2013 Andreza Branco White (Douro),Portuguese White,Wines & Winemakers
9576,Spain,Artazuri,86,12.0,Bodegas Artazu 2012 Artazuri Garnacha (Navarra),Garnacha,Bodegas Artazu
9577,Spain,LZ,86,17.0,Telmo Rodríguez 2012 LZ  (Rioja),Tempranillo Blend,Telmo Rodríguez
9578,Spain,Tarima,86,9.0,Volver 2012 Tarima Monastrell (Alicante),Monastrell,Volver
9579,US,Estate Grown,86,14.0,Foris 2013 Estate Grown Pinot Gris (Rogue Valley),Pinot Gris,Foris
9580,Germany,Erdener Treppchen Kabinett,86,22.0,Dr. Hermann 2012 Erdener Treppchen Kabinett Riesling (Mosel),Riesling,Dr. Hermann
9581,Portugal,,86,20.0,Herdade do Rocim 2013 White (Alentejano),Portuguese White,Herdade do Rocim
9582,Portugal,10-Year-Old Tawny,86,55.0,Niepoort NV 10-Year-Old Tawny  (Port),Port,Niepoort
9583,Portugal,Barão de Forrester 10-Year-Old Tawny,86,24.0,Offley NV Barão de Forrester 10-Year-Old Tawny  (Port),Port,Offley
9584,France,Bourgogne,85,18.0,Vignerons de Buxy 2012 Bourgogne  (Côte Chalonnaise),Pinot Noir,Vignerons de Buxy
9585,Spain,,85,8.0,Viña Vilano 2013 Verdejo (Rueda),Verdejo,Viña Vilano
9586,Portugal,Ponte,85,10.0,Adega Cooperativa Ponte de Lima 2013 Ponte White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Lima
9587,US,Estate Grown,85,25.0,Abacela 2013 Estate Grown Viognier (Umpqua Valley),Viognier,Abacela
9588,US,Sangiacomo Vineyard,85,42.0,Bonneau 2011 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Bonneau
9589,Portugal,Quinta do Carmo Branco,85,19.0,Bacalhôa Wines of Portugal 2013 Quinta do Carmo Branco White (Alentejano),Portuguese White,Bacalhôa Wines of Portugal
9590,France,Passeport,85,26.0,Barton & Guestier 2013 Passeport  (Pouilly-Fuissé),Chardonnay,Barton & Guestier
9591,Portugal,Palha Canas,85,10.0,Casa Santos Lima 2013 Palha Canas White (Lisboa),Portuguese White,Casa Santos Lima
9592,Germany,Late Harvest Spätlese,85,10.0,Johann Falkenburg 2012 Late Harvest Spätlese Riesling (Mosel),Riesling,Johann Falkenburg
9593,Germany,Wiltinger Trocken,85,30.0,Reichsgraf von Kesselstatt 2012 Wiltinger Trocken Riesling (Mosel),Riesling,Reichsgraf von Kesselstatt
9594,France,Chitry,85,18.0,Simonnet-Febvre 2012 Chitry  (Chablis),Chardonnay,Simonnet-Febvre
9595,US,,85,26.0,RoxyAnn 2011 Tempranillo (Rogue Valley),Tempranillo,RoxyAnn
9596,Italy,Brut Altamarea,85,22.0,Ciù Ciù NV Brut Altamarea Passerina (Vino Spumante),Passerina,Ciù Ciù
9597,Portugal,Dona Maria,85,19.0,Dona Maria-Júlio Bastos 2013 Dona Maria White (Alentejano),Portuguese White,Dona Maria-Júlio Bastos
9598,France,Les Gendres Parcelle no A307,93,,Château Tour des Gendres 2010 Les Gendres Parcelle no A307 Merlot (Côtes de Bergerac),Merlot,Château Tour des Gendres
9599,France,Origine,93,22.0,Château Vincens 2011 Origine Malbec (Cahors),Malbec,Château Vincens
9600,US,The Magician Evergreen Vineyard White Wine,93,18.0,Sleight of Hand 2012 The Magician Evergreen Vineyard White Wine Riesling (Columbia Valley (WA)),Riesling,Sleight of Hand
9601,US,Diana's,93,59.0,Testarossa 2011 Diana's Chardonnay (California),Chardonnay,Testarossa
9602,US,Doctor's Vineyard,93,62.0,Testarossa 2011 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
9603,Argentina,Aluvional,93,90.0,Zuccardi 2009 Aluvional Malbec (Tupungato),Malbec,Zuccardi
9604,Spain,Gran Reserva,93,45.0,Marqués de Riscal 2005 Gran Reserva  (Rioja),Tempranillo Blend,Marqués de Riscal
9605,US,Materium,93,150.0,Maybach 2010 Materium Red (Oakville),Bordeaux-style Red Blend,Maybach
9606,US,Branding Iron,93,100.0,Nickel & Nickel 2010 Branding Iron Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Nickel & Nickel
9607,US,La Paciencia Vineyard,93,65.0,No Girls 2010 La Paciencia Vineyard Grenache (Walla Walla Valley (WA)),Grenache,No Girls
9608,US,The Widowmaker En Chamberlin Vineyard,93,85.0,Cayuse 2010 The Widowmaker En Chamberlin Vineyard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Cayuse
9609,France,Prestige,93,13.0,Château Vincens 2011 Prestige Malbec-Merlot (Cahors),Malbec-Merlot,Château Vincens
9610,US,Talley Vineyard Rincon,93,40.0,Au Bon Climat 2010 Talley Vineyard Rincon Pinot Noir (Arroyo Grande Valley),Pinot Noir,Au Bon Climat
9611,US,Illustration,93,125.0,Blackbird Vineyards 2011 Illustration Red (Napa Valley),Bordeaux-style Red Blend,Blackbird Vineyards
9612,US,Wurtele Vineyard Estate Grown,93,75.0,Terra Valentine 2010 Wurtele Vineyard Estate Grown Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
9613,Italy,Naturalis Historia,93,90.0,Mastroberardino 2006 Naturalis Historia  (Taurasi),Aglianico,Mastroberardino
9614,US,Amoenus,93,125.0,Maybach 2010 Amoenus Cabernet Sauvignon (Calistoga),Cabernet Sauvignon,Maybach
9615,US,La Paciencia Vineyard,93,65.0,No Girls 2010 La Paciencia Vineyard Syrah (Walla Walla Valley (WA)),Syrah,No Girls
9616,France,Réserve Caillou,93,40.0,Château de Gaudou 2011 Réserve Caillou Malbec (Cahors),Malbec,Château de Gaudou
9617,France,La Gloire de Mon Père,93,,Château Tour des Gendres 2010 La Gloire de Mon Père Red (Côtes de Bergerac),Bordeaux-style Red Blend,Château Tour des Gendres
9618,France,Les Larmes de Bacchus,93,127.0,Domaine Pichot 2011 Les Larmes de Bacchus  (Vouvray),Chenin Blanc,Domaine Pichot
9619,France,La Bernardine,93,57.0,M. Chapoutier 2010 La Bernardine Red (Châteauneuf-du-Pape),Rhône-style Red Blend,M. Chapoutier
9620,France,Renaissance,93,,Domaine Rotier 2010 Renaissance Red (Gaillac),Red Blend,Domaine Rotier
9621,France,Le Grand Ballon,85,13.0,Domaine Joël Delaunay 2013 Le Grand Ballon Sauvignon Blanc (Val de Loire),Sauvignon Blanc,Domaine Joël Delaunay
9622,Italy,Centopietre,85,,Petrelli 2012 Centopietre Red (Salice Salentino),Red Blend,Petrelli
9623,France,Colombelle L'Originel,85,8.0,Producteurs Plaimont 2013 Colombelle L'Originel White (Côtes de Gascogne),White Blend,Producteurs Plaimont
9624,Italy,Le More,85,40.0,Santa Lucia 2012 Le More Uva di Troia (Castel del Monte),Uva di Troia,Santa Lucia
9625,South Africa,Oak Lane,85,10.0,Beau Joubert 2013 Oak Lane Chenin Blanc-Sauvignon Blanc (Stellenbosch),Chenin Blanc-Sauvignon Blanc,Beau Joubert
9626,Italy,,85,20.0,Villa Mottura 2012  Primitivo di Manduria,Primitivo,Villa Mottura
9627,Chile,Petirrojo Reserva,85,8.0,Viña Bisquertt 2014 Petirrojo Reserva Chardonnay (Colchagua Valley),Chardonnay,Viña Bisquertt
